Message,Intent,Response
Hey! How's it going?,greeting,Hey! I'm doing well. How about you?
Hello!,greeting,Hi there! How can I assist you today?
Good morning!,greeting,Good morning! Hope you have a great day ahead.
"Hi, how are you?",greeting,I'm great! How about you?
What's your name?,ask_name,"I'm WhatsEye, your chat assistant."
Who created you?,ask_name,I was created by a talented developer.
Tell me about yourself.,ask_name,I'm a chatbot designed for WhatsApp chat analysis.
What can you do?,ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
How does WhatsEye analyze my chats?,ask_capabilities,"WhatsEye processes your chat history to determine sentiment trends, engagement levels, and key communication patterns."
Tell me a joke!,funny,Sure! Why did the computer go to therapy? It had too many bugs!
Make me laugh!,funny,Why don’t skeletons fight each other? They don’t have the guts!
Tell me another joke!,funny,Why did the smartphone need glasses? Because it lost all its contacts!
Bye!,farewell,Goodbye! Have a great day.
See you later!,farewell,See you soon! Take care.
Goodnight!,farewell,Goodnight! Sleep well.
Allah Hafiz!,farewell,Allah Hafiz! Take care.
"Acha, phir milte hain!",farewell,Theek hai! Jaldi milenge. Khuda hafiz!
Thanks!,gratitude,You're welcome! Happy to help.
Thank you so much!,gratitude,Anytime! Let me know if you need help.
Shukriya!,gratitude,Koi baat nahi! Hamesha madad ke liye tayar hoon.
I need help with something.,help_request,Of course! What do you need help with?
Madad chahiye!,help_request,Main yahaan hoon! Aapko kis tarah ki madad chahiye?
Can you analyze my WhatsApp chat?,chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
Mera message analysis kar do.,chat_analysis,Bilkul! Apna WhatsApp chat upload karein aur main analysis karonga.
Is my conversation positive or negative?,sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
Can you check if my messages are positive?,sentiment_query,"Yes, upload your chat and I’ll analyze its sentiment!"
Do you understand Roman Urdu?,language_query,Yes! I can analyze both English and Roman Urdu messages.
Do you analyze both English and Urdu?,language_query,Yes! I support English and Roman Urdu analysis.
How do I use WhatsEye?,usage,"You can upload your WhatsApp chat, and I will analyze it for you."
How do I start using WhatsEye?,usage,"Simply upload your chat, and I will process it for analysis!"
Does WhatsEye store my data?,privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
Is my chat private?,privacy,"Yes, your data remains private. I only analyze it temporarily."
Can I use this for business chat analysis?,business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
Can WhatsEye track customer engagement?,business_usage,Yes! WhatsEye can help businesses track customer interactions.
How accurate is your sentiment analysis?,accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
How precise is WhatsEye’s analysis?,accuracy,"I try to be as accurate as possible, but results depend on data quality."
Can you detect sarcasm?,sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
Can WhatsEye detect sarcasm?,sarcasm_detection,"Sarcasm is hard to detect, but I do my best!"
What languages do you support?,languages,I support English and Roman Urdu for now.
Which languages can WhatsEye analyze?,languages,"Currently, I analyze English and Roman Urdu chats."
Hey! How's it going?!,greeting,Hey! I'm doing well. How about you?
What's your name?!,ask_name,"I'm WhatsEye, your chat assistant."
Who created you?!,ask_name,I was created by a talented developer.
Tell me a joke!!,funny,Sure! Why did the computer go to therapy? It had too many bugs!
Make me laugh!!,funny,Why don’t skeletons fight each other? They don’t have the guts!
Thanks!!,gratitude,You're welcome! Happy to help.
Thank you so much!!,gratitude,Anytime! Let me know if you need help.
What can you do?!,ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
How does WhatsEye analyze my chats?!,ask_capabilities,"WhatsEye processes your chat history to determine sentiment trends, engagement levels, and key communication patterns."
I need help with something.!,help_request,Of course! What do you need help with?
Madad chahiye!!,help_request,Main yahaan hoon! Aapko kis tarah ki madad chahiye?
Can you analyze my WhatsApp chat?!,chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
Mera message analysis kar do.!,chat_analysis,Bilkul! Apna WhatsApp chat upload karein aur main analysis karonga.
Is my conversation positive or negative?!,sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
Can you check if my messages are positive?!,sentiment_query,"Yes, upload your chat and I’ll analyze its sentiment!"
Do you understand Roman Urdu?!,language_query,Yes! I can analyze both English and Roman Urdu messages.
Do you analyze both English and Urdu?!,language_query,Yes! I support English and Roman Urdu analysis.
